Date,sp500_close,sp500_high,sp500_low,sp500_open,sp500_volume,usdinr_close,usdinr_high,usdinr_low,usdinr_open,usdinr_volume,gold_close,gold_high,gold_low,gold_open,gold_volume,crude_close,crude_high,crude_low,crude_open,crude_volume,us_vix_close,us_vix_high,us_vix_low,us_vix_open,us_vix_volume,bank_close,bank_high,bank_low,bank_open,bank_volume
2021-03-29 05:30:00+05:30,3971.090087890625,3981.830078125,3943.25,3969.31005859375,4628180000.0,72.44719696044922,72.82740020751953,72.44730377197266,72.44730377197266,0.0,1712.0999755859375,1712.0999755859375,1712.0999755859375,1712.0999755859375,135457.0,61.560001373291016,61.77000045776367,59.40999984741211,60.93000030517578,449360.0,20.739999771118164,21.600000381469727,19.420000076293945,20.399999618530273,0.0,,,,,
2021-03-30 05:30:00+05:30,3958.550048828125,3968.010009765625,3944.35009765625,3963.340087890625,4121510000.0,72.74189758300781,73.65229797363281,72.71299743652344,72.74189758300781,0.0,1683.9000244140625,1712.5999755859375,1676.5,1711.0,25316.0,60.54999923706055,62.27000045776367,59.939998626708984,61.959999084472656,388188.0,19.610000610351562,21.75,19.469999313354492,20.760000228881836,0.0,33874.70703125,33990.40490249239,33564.15986687441,33615.50692509653,374200.0
2021-03-31 05:30:00+05:30,3972.889892578125,3994.409912109375,3966.97998046875,3967.25,4578050000.0,73.44529724121094,73.61299896240234,73.05000305175781,73.44529724121094,0.0,1713.800048828125,1713.800048828125,1676.5,1683.699951171875,762.0,59.15999984741211,61.16999816894531,58.849998474121094,60.45000076293945,414162.0,19.399999618530273,20.110000610351562,18.850000381469727,19.799999237060547,0.0,33303.51171875,33772.709395449514,33151.415828630044,33764.408710586664,0.0
2021-04-01 05:30:00+05:30,4019.8701171875,4020.6298828125,3992.780029296875,3992.780029296875,4162130000.0,73.20349884033203,73.4625015258789,73.1050033569336,73.20349884033203,0.0,1726.5,1728.800048828125,1706.4000244140625,1706.800048828125,720.0,61.45000076293945,61.75,58.86000061035156,59.4900016784668,605567.0,17.329999923706055,18.639999389648438,17.290000915527344,18.600000381469727,0.0,33857.60546875,33948.75284414039,33208.36303415298,33587.608614932215,0.0
2021-04-02 05:30:00+05:30,,,,,,73.28730010986328,73.40979766845703,73.2385025024414,73.28730010986328,0.0,,,,,,,,,,,,,,,,,,,,
2021-04-05 05:30:00+05:30,4077.909912109375,4083.419921875,4034.43994140625,4034.43994140625,4005030000.0,73.3759994506836,73.45159912109375,73.19730377197266,73.3760986328125,0.0,1727.0,1729.699951171875,1721.9000244140625,1727.9000244140625,275.0,58.650001525878906,61.5,57.630001068115234,61.5,438864.0,17.90999984741211,18.399999618530273,17.350000381469727,18.15999984741211,0.0,32678.470703125,33697.359279756216,32329.775527488968,33648.758280783884,0.0
2021-04-06 05:30:00+05:30,4073.93994140625,4086.22998046875,4068.139892578125,4075.570068359375,4081270000.0,73.27950286865234,73.52909851074219,73.214599609375,73.27950286865234,0.0,1741.5,1744.800048828125,1726.9000244140625,1726.9000244140625,890.0,59.33000183105469,60.900001525878906,58.619998931884766,58.79999923706055,457348.0,18.1200008392334,18.299999237060547,17.3700008392334,18.06999969482422,0.0,32500.97265625,33007.26561228268,32338.025327397434,32915.26667930568,0.0
2021-04-07 05:30:00+05:30,4079.949951171875,4083.1298828125,4068.31005859375,4074.2900390625,4120810000.0,73.48999786376953,74.53230285644531,73.44979858398438,73.48999786376953,0.0,1740.0999755859375,1742.699951171875,1733.699951171875,1742.699951171875,557.0,59.77000045776367,60.040000915527344,58.119998931884766,59.2599983215332,475537.0,17.15999984741211,18.170000076293945,16.8700008392334,17.989999771118164,0.0,32990.81640625,33191.314079753596,32141.177827622974,32529.321761252937,0.0
2021-04-08 05:30:00+05:30,4097.169921875,4098.18994140625,4082.5400390625,4089.949951171875,3907100000.0,74.40149688720703,74.90560150146484,74.19300079345703,74.40149688720703,0.0,1756.800048828125,1758.0,1734.5999755859375,1736.0,1298.0,59.599998474121094,59.93000030517578,58.81999969482422,59.52000045776367,419913.0,16.950000762939453,17.360000610351562,16.549999237060547,16.920000076293945,0.0,32782.46875,33306.41185048082,32704.36809950896,33153.81206994251,0.0
2021-04-09 05:30:00+05:30,4128.7998046875,4129.47998046875,4095.510009765625,4096.10986328125,3640390000.0,74.54450225830078,75.00630187988281,74.46050262451172,74.54450225830078,0.0,1743.300048828125,1750.800048828125,1733.300048828125,1750.800048828125,484.0,59.31999969482422,59.95000076293945,59.099998474121094,59.7599983215332,351436.0,16.690000534057617,17.34000015258789,16.200000762939453,17.049999237060547,0.0,32447.673828125,32971.765395865994,32329.573637625843,32636.521243610114,0.0
2021-04-12 05:30:00+05:30,4127.990234375,4131.759765625,4114.81982421875,4124.7099609375,3588900000.0,74.72949981689453,75.17829895019531,74.1801986694336,74.72959899902344,0.0,1731.199951171875,1740.800048828125,1726.699951171875,1740.800048828125,40.0,59.70000076293945,60.77000045776367,58.72999954223633,59.349998474121094,410218.0,16.90999984741211,17.90999984741211,16.809999465942383,17.43000030517578,0.0,30791.642578125,31697.682842280657,30519.94651315664,31637.533149858613,0.0
2021-04-13 05:30:00+05:30,4141.58984375,4148.0,4124.43017578125,4130.10009765625,3734720000.0,74.99099731445312,75.51799774169922,74.8904037475586,74.99099731445312,0.0,1746.199951171875,1746.9000244140625,1722.0999755859375,1733.800048828125,367.0,60.18000030517578,60.59000015258789,59.63999938964844,59.63999938964844,349733.0,16.649999618530273,17.860000610351562,16.43000030517578,16.989999771118164,0.0,31771.23046875,31885.078755355087,30722.492653727626,30901.44174644551,0.0
2021-04-14 05:30:00+05:30,4124.66015625,4151.68994140625,4120.8701171875,4141.580078125,3985350000.0,75.18150329589844,75.26000213623047,75.00389862060547,75.18190002441406,0.0,1734.9000244140625,1745.9000244140625,1732.699951171875,1741.300048828125,1037.0,63.150001525878906,63.439998626708984,60.380001068115234,60.439998626708984,419813.0,16.989999771118164,17.690000534057617,15.380000114440918,16.709999084472656,0.0,,,,,
