date,news_sentiment_mean,news_sentiment_std,news_bullish_count,news_bearish_count,news_article_count,news_bull_ratio
2026-03-16,0.19911932075471697,0.2664549327149071,34,3,106,0.3207547169781061
2026-03-17,0.2082544090909091,0.27717354690357016,140,21,418,0.3349282296642705
2026-03-18,0.20434209641873277,0.24244251028595595,116,10,363,0.3195592286492574
2026-03-19,0.16542807964601772,0.25184682633512373,31,5,113,0.27433628318341297
